Format Version,1.23,Take Name,Take 2022-02-11 07.51.42 PM_004,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,50.000000,Capture Start Time,2022-02-11 08.22.15.784 ,Total Frames in Take,58575,Total Exported Frames,24407,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Brazo,Brazo,Brazo,Brazo,Brazo,Brazo,Brazo,Brazo
,ID,"13FA25D78B6811EC971C30666208F79D","13FA25D78B6811EC971C30666208F79D","13FA25D78B6811EC971C30666208F79D","13FA25D78B6811EC971C30666208F79D","13FA25D78B6811EC971C30666208F79D","13FA25D78B6811EC971C30666208F79D","13FA25D78B6811EC971C30666208F79D","13FA25D78B6811EC971C30666208F79D"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,
181,3.620000,-0.358579,0.239440,0.034125,-0.901624,-0.047001,0.128347,-0.009728,0.000214
182,3.640000,-0.357776,0.240103,0.034335,-0.901758,-0.046962,0.128908,-0.009513,0.000859
183,3.660000,-0.356348,0.239884,0.034817,-0.902363,-0.046731,0.129448,-0.009109,0.000886
184,3.680000,-0.354525,0.239310,0.034216,-0.903257,-0.046604,0.129988,-0.008760,0.000866
185,3.700000,-0.352458,0.238236,0.033029,-0.904393,-0.046124,0.130439,-0.008259,0.000862
186,3.720000,-0.351126,0.237183,0.032094,-0.905221,-0.046069,0.130936,-0.007894,0.000950
187,3.740000,-0.349677,0.239324,0.033663,-0.905161,-0.046151,0.131648,-0.007677,0.001107
188,3.760000,-0.347872,0.238579,0.033625,-0.906055,-0.046174,0.132163,-0.007260,0.001135
189,3.780000,-0.345324,0.237688,0.032119,-0.907317,-0.046476,0.132792,-0.006988,0.000916
190,3.800000,-0.343644,0.237557,0.031826,-0.907999,-0.046369,0.133360,-0.006582,0.001211
191,3.820000,-0.341588,0.237327,0.030679,-0.908874,-0.046467,0.133854,-0.006279,0.001194
192,3.840000,-0.339609,0.237904,0.030512,-0.909471,-0.046528,0.134438,-0.005968,0.001175
193,3.860000,-0.338247,0.237870,0.029971,-0.910005,-0.046729,0.135017,-0.005657,0.001090
